1324613905.37	21.030
1324613915.47	20.940
1324613925.56	20.940
1324613935.66	20.940
1324613945.75	20.940
1324613955.84	20.940
1324613965.95	20.940
1324613976.05	20.940
1324613986.14	20.940
1324613996.23	20.940
1324614006.33	21.030
1324614016.42	28.880
1324614026.51	30.180
1324614036.61	29.340
1324614046.72	28.520
1324614056.81	27.790
1324614066.91	27.150
1324614077.00	26.610
1324614087.09	26.070
1324614097.19	25.540
1324614107.28	25.180
1324614117.39	24.730
1324614127.48	24.380
1324614137.58	24.110
1324614147.67	23.850
1324614157.76	23.580
1324614167.86	23.400
1324614177.95	23.230
1324614188.06	23.050
1324614198.17	22.870
1324614208.26	22.700
1324614218.36	22.610
1324614228.45	22.520
1324614238.55	22.430
1324614248.64	22.350
1324614258.75	22.260
1324614268.84	22.170
1324614278.94	22.080
1324614289.03	21.990
1324614299.12	21.910
1324614309.22	21.910
1324614319.31	21.820
1324614329.42	21.820
1324614339.58	21.730
1324614349.67	21.730
1324614359.76	21.640
1324614369.86	21.640
1324614379.95	21.640
1324614390.05	21.640
1324614400.16	21.640
1324614410.25	21.560
1324614420.34	21.640
1324614430.44	21.640
1324614440.53	21.640
1324614450.62	21.560
1324614460.72	21.560
1324614470.83	21.560
1324614480.92	21.560
1324614491.01	21.640
1324614501.11	21.640
1324614511.20	21.640
1324614521.30	21.640
1324614531.39	21.640
1324614541.48	21.640
1324614551.59	21.640
1324614561.69	21.640
1324614571.78	21.730
1324614581.87	21.730
1324614591.97	21.730
1324614602.06	21.730
1324614612.16	21.820
1324614622.26	21.820
1324614632.36	21.820
1324614642.45	21.820
1324614652.55	21.820
1324614662.64	21.820
1324614672.73	21.820
1324614682.83	21.820
1324614692.94	21.820
1324614703.03	21.820
1324614713.12	21.820
1324614723.22	21.730
1324614733.31	21.730
1324614743.41	21.730
1324614753.50	21.730
1324614763.61	21.730
1324614773.70	21.640
1324614783.80	21.730
1324614793.89	21.730
1324614803.98	21.730
1324614814.08	21.730
1324614824.17	21.730
1324614834.28	21.730
1324614844.37	21.730
1324614854.47	21.730
1324614864.56	21.730
1324614874.66	21.730
1324614884.75	21.730
1324614894.84	21.730
1324614904.94	21.730
1324614915.05	21.730
1324614925.14	21.730
1324614935.23	21.820
1324614945.33	21.730
1324614955.42	21.640
1324614965.51	21.560
1324614975.61	23.760
1324614985.72	23.400
1324614995.81	22.700
1324615005.91	21.990
1324615016.00	21.290
1324615026.09	20.590
